id,dim1,dim2,label_pred,p_y,p_y_0,p_y_1,p_y_2,p_y_3,p_y_4,p_y_5,p_y_6,p_y_7,p_y_8,p_y_9
0.000000000000000000e+00,1.246304798126220703e+01,-1.462447071075439453e+01,7.000000000000000000e+00,1.048524491488933563e-02,8.354438136848330032e-07,1.440896885469555855e-04,1.466646936023607850e-04,1.362551029160385951e-05,1.646207965677604079e-05,4.098661520401947200e-06,2.270789082103874534e-06,9.993383884429931641e-01,4.637484016711823642e-05,2.872143813874572515e-04
1.000000000000000000e+00,-3.235991954803466797e+00,-1.349961090087890625e+01,2.000000000000000000e+00,1.050273887813091278e-02,1.616865688447433058e-06,1.386591466143727303e-04,9.992526769638061523e-01,2.465550205670297146e-04,5.467027676786528900e-06,1.830724795581772923e-05,3.204470203854725696e-06,1.487071131123229861e-04,1.523068203823640943e-04,3.256595300626941025e-05
2.000000000000000000e+00,3.759862422943115234e+00,-2.779346656799316406e+01,1.000000000000000000e+00,1.048011612147092819e-02,5.248130605650658254e-07,9.996712803840637207e-01,1.378867018502205610e-04,1.385554060107097030e-05,2.703700374695472419e-06,2.850753617167356424e-06,9.487247325523640029e-07,1.452956785215064883e-04,1.130802775151096284e-05,1.329483984591206536e-05
3.000000000000000000e+00,-2.149166870117187500e+01,3.087962913513183594e+01,0.000000000000000000e+00,7.314769085496664047e-03,9.998372793197631836e-01,7.900799801063840277e-07,2.526771140765049495e-06,6.627358288824325427e-06,2.145044618373503909e-06,4.516568878898397088e-05,9.418994159204885364e-05,1.276252419302181806e-06,7.926127182145137340e-06,2.042145297309616581e-06
4.000000000000000000e+00,2.387470054626464844e+01,1.031980323791503906e+01,4.000000000000000000e+00,1.049179397523403168e-02,1.415043925589998253e-06,2.654533091117627919e-06,5.480768777488265187e-06,2.922271733041270636e-06,9.997243881225585938e-01,2.706325403778464533e-06,9.168527867586817592e-06,1.617772431927733123e-05,2.009085073950700462e-05,2.150407526642084122e-04
5.000000000000000000e+00,3.772068977355957031e+00,-2.791845130920410156e+01,1.000000000000000000e+00,1.043536048382520676e-02,5.231840418673527893e-07,9.996780753135681152e-01,1.345254131592810154e-04,1.371797679894370958e-05,2.689046141313156113e-06,2.832838845279184170e-06,9.442558734917838592e-07,1.423900248482823372e-04,1.116873409046093002e-05,1.315749341301852837e-05
6.000000000000000000e+00,2.231003570556640625e+01,8.459916114807128906e+00,4.000000000000000000e+00,1.302494318224489689e-03,1.193805201182840392e-05,2.680175930436234921e-05,5.812356539536267519e-05,2.900862637034151703e-05,9.958107471466064453e-01,2.545400457165669650e-05,7.578409713460132480e-05,1.857532479334622622e-04,2.249438693979755044e-04,3.551502479240298271e-03
7.000000000000000000e+00,1.779010391235351562e+01,-1.405113935470581055e-01,9.000000000000000000e+00,1.591003732755780220e-03,9.085157216759398580e-06,6.505072815343737602e-05,1.584131969138979912e-04,4.953899042448028922e-05,2.805382944643497467e-03,3.019111318280920386e-05,4.303915557102300227e-05,1.048728823661804199e-03,5.064739962108433247e-04,9.952841401100158691e-01
8.000000000000000000e+00,-1.789404869079589844e+01,1.015081787109375000e+01,5.000000000000000000e+00,1.179158105514943600e-03,3.585135855246335268e-04,2.233465056633576751e-05,1.387408847222104669e-04,1.066522090695798397e-03,2.695204238989390433e-05,9.974421858787536621e-01,2.782117517199367285e-04,3.490795279503799975e-05,5.864005652256309986e-04,4.512080340646207333e-05
9.000000000000000000e+00,1.681291961669921875e+01,-2.783543348312377930e+00,9.000000000000000000e+00,7.516945712268352509e-03,1.784711116670223419e-06,2.006493195949587971e-05,4.821465336135588586e-05,1.236463504028506577e-05,2.620207378640770912e-04,6.586248218809487298e-06,7.572908543806988746e-06,4.913714947178959846e-04,1.190761104226112366e-04,9.990309476852416992e-01
1.000000000000000000e+01,-2.168826675415039062e+01,3.120309829711914062e+01,0.000000000000000000e+00,9.462672285735607147e-03,9.998804926872253418e-01,5.966321054984291550e-07,1.893451667456247378e-06,4.935780452797189355e-06,1.617170482859364711e-06,3.292057226644828916e-05,6.914386176504194736e-05,9.607924766896758229e-07,5.875884653505636379e-06,1.534349394205491990e-06
1.100000000000000000e+01,-2.377186059951782227e+00,2.729956054687500000e+01,6.000000000000000000e+00,9.842556901276111603e-03,6.091158866183832288e-05,1.034458477988664526e-06,3.592424036469310522e-06,6.024674348736880347e-06,1.018111106532160193e-05,2.292807403136976063e-05,9.998636245727539062e-01,2.517121401979238726e-06,2.261449662910308689e-05,6.521313935081707314e-06
1.200000000000000000e+01,1.677289390563964844e+01,-1.968343377113342285e+00,9.000000000000000000e+00,1.045911945402622223e-02,1.340526182502799202e-06,1.306612466578371823e-05,3.256425407016649842e-05,8.822828021948225796e-06,2.272950077895075083e-04,4.870023076364304870e-06,5.890715783607447520e-06,2.810916339512914419e-04,9.005302126752212644e-05,9.993349909782409668e-01
1.300000000000000000e+01,-2.171601295471191406e+01,3.111700248718261719e+01,0.000000000000000000e+00,9.116117842495441437e-03,9.998755455017089844e-01,6.219398756002192385e-07,1.976688508875668049e-06,5.166605660633649677e-06,1.680080345067835879e-06,3.465167537797242403e-05,7.160863606259226799e-05,1.000986799226666335e-06,6.135509465821087360e-06,1.597109189788170625e-06
1.400000000000000000e+01,3.751705169677734375e+00,-2.789077568054199219e+01,1.000000000000000000e+00,1.046006754040718079e-02,5.230280066825798713e-07,9.996770620346069336e-01,1.353243569610640407e-04,1.375087322230683640e-05,2.686413381525198929e-06,2.835295390468672849e-06,9.440385611014789902e-07,1.424830406904220581e-04,1.118730051530292258e-05,1.315471672569401562e-05
1.500000000000000000e+01,-1.924400329589843750e+01,4.798292636871337891e+00,5.000000000000000000e+00,5.877738585695624352e-04,3.105180221609771252e-04,6.439301796490326524e-05,4.767720820382237434e-04,8.233981207013130188e-03,4.616014484781771898e-05,9.891782999038696289e-01,2.557182160671800375e-04,8.636301936348900199e-05,1.256392220966517925e-03,9.141675400314852595e-05
1.600000000000000000e+01,1.675461387634277344e+01,-1.990504026412963867e+00,9.000000000000000000e+00,1.049192994832992554e-02,1.336258151241054293e-06,1.307562342844903469e-05,3.261322854086756706e-05,8.818314199743326753e-06,2.247996890218928456e-04,4.860925400862470269e-06,5.866631454409798607e-06,2.824444090947508812e-04,9.003459126688539982e-05,9.993361234664916992e-01
1.700000000000000000e+01,1.247636413574218750e+01,-1.460173797607421875e+01,7.000000000000000000e+00,1.048057898879051208e-02,8.364137897842738312e-07,1.432093849871307611e-04,1.463072258047759533e-04,1.362009152217069641e-05,1.653245817578863353e-05,4.101528247701935470e-06,2.275238330184947699e-06,9.993370771408081055e-01,4.647909372579306364e-05,2.895479265134781599e-04
1.800000000000000000e+01,-1.184023857116699219e+01,1.211211204528808594e+00,3.000000000000000000e+00,3.887739148922264576e-05,2.358197001740336418e-03,2.090215915814042091e-03,2.978953532874584198e-02,5.465144515037536621e-01,1.350163249298930168e-03,2.610971033573150635e-01,4.029520787298679352e-03,3.522286657243967056e-03,1.456216424703598022e-01,3.626805264502763748e-03
1.900000000000000000e+01,2.389539718627929688e+01,1.033575820922851562e+01,4.000000000000000000e+00,1.047302410006523132e-02,1.416226496075978503e-06,2.653445335454307497e-06,5.474759745993651450e-06,2.920517317761550657e-06,9.997255802154541016e-01,2.705727411012048833e-06,9.174925253319088370e-06,1.615232395124621689e-05,2.005032911256421357e-05,2.139950374839827418e-04
2.000000000000000000e+01,1.668045425415039062e+01,-5.024199485778808594e+00,9.000000000000000000e+00,6.926564383320510387e-04,1.738395621941890568e-05,2.932373899966478348e-04,6.350014591589570045e-04,1.392138656228780746e-04,1.700470806099474430e-03,6.720501551171764731e-05,6.734878115821629763e-05,1.097597274929285049e-02,1.140750711783766747e-03,9.849633574485778809e-01
2.100000000000000000e+01,-2.257101535797119141e+00,2.670792388916015625e+01,6.000000000000000000e+00,6.638868246227502823e-03,8.592564699938520789e-05,1.601921326255251188e-06,5.644982138619525358e-06,9.458379281568340957e-06,1.592852277099154890e-05,3.602516517275944352e-05,9.997943639755249023e-01,3.939282123610610142e-06,3.684556577354669571e-05,1.031164993037236854e-05
2.200000000000000000e+01,-1.813481211662292480e+00,2.586540794372558594e+01,6.000000000000000000e+00,2.373515861108899117e-03,2.121138386428356171e-04,4.781496954819886014e-06,1.716117913019843400e-05,2.838949694705661386e-05,4.959676516591571271e-05,1.060833747033029795e-04,9.994189739227294922e-01,1.201744453283026814e-05,1.186414447147399187e-04,3.223687599529512227e-05
2.300000000000000000e+01,-1.890399932861328125e+01,7.964740276336669922e+00,5.000000000000000000e+00,1.034126710146665573e-02,2.878958184737712145e-05,2.887237997128977440e-06,1.900249844766221941e-05,1.970891171367838979e-04,2.778389671220793389e-06,9.996531605720520020e-01,2.171378037019167095e-05,4.203045136819127947e-06,6.534105341415852308e-05,4.978358902008039877e-06
2.400000000000000000e+01,2.297033119201660156e+01,1.021927833557128906e+01,4.000000000000000000e+00,6.374083925038576126e-03,2.477996531524695456e-06,4.579344931698869914e-06,9.803798093344084918e-06,5.227450401434907690e-06,9.994804263114929199e-01,4.853149675909662619e-06,1.649933619773946702e-05,2.847746691259089857e-05,3.798796024057082832e-05,4.097098717465996742e-04
2.500000000000000000e+01,-2.136924362182617188e+01,3.076743125915527344e+01,0.000000000000000000e+00,6.340961903333663940e-03,9.998075366020202637e-01,9.200973067891027313e-07,2.951659325844957493e-06,7.752704732411075383e-06,2.506008968339301646e-06,5.323866207618266344e-05,1.118483851314522326e-04,1.489294618295389228e-06,9.310934729001019150e-06,2.386998630754533224e-06
2.600000000000000000e+01,1.273414707183837891e+01,-1.422085380554199219e+01,7.000000000000000000e+00,9.007701650261878967e-03,9.833954663918120787e-07,1.487919071223586798e-04,1.606541045475751162e-04,1.554636219225358218e-05,2.056252014881465584e-05,4.777160938829183578e-06,2.712196874199435115e-06,9.992055296897888184e-01,5.546148167923092842e-05,3.850151260849088430e-04
