id,dim1,dim2,label_pred,p_y,p_y_0,p_y_1,p_y_2,p_y_3,p_y_4,p_y_5,p_y_6,p_y_7,p_y_8,p_y_9
0.000000000000000000e+00,-6.969743371009826660e-01,-3.858329296112060547e+00,3.000000000000000000e+00,1.043060235679149628e-02,1.282302691834047437e-04,1.913329033413901925e-04,1.291029911953955889e-04,9.943704009056091309e-01,1.835540868341922760e-03,6.618867628276348114e-04,8.537088870070874691e-04,1.011729124002158642e-03,3.406120231375098228e-04,4.774518311023712158e-04
1.000000000000000000e+00,-2.771278619766235352e+00,8.736448287963867188e+00,8.000000000000000000e+00,1.050726417452096939e-02,1.473475247621536255e-03,1.684617833234369755e-03,1.270527573069557548e-04,3.364675212651491165e-04,7.425625808537006378e-04,7.007882959442213178e-05,4.631719275494106114e-05,3.933587504434399307e-05,9.952814579010009766e-01,1.986432471312582493e-04
2.000000000000000000e+00,-3.075118541717529297e+00,8.658756256103515625e+00,8.000000000000000000e+00,9.964261204004287720e-03,1.356433611363172531e-03,2.054914366453886032e-03,1.253512455150485039e-04,3.570385451894253492e-04,7.315223338082432747e-04,7.165619172155857086e-05,5.006294668419286609e-05,4.124243787373416126e-05,9.949871301651000977e-01,2.246491785626858473e-04
3.000000000000000000e+00,5.676096916198730469e+00,1.132752609252929688e+01,0.000000000000000000e+00,1.047511212527751923e-02,9.961681365966796875e-01,1.018397888401523232e-04,9.248376591131091118e-04,1.252496876986697316e-04,1.107744290493428707e-03,1.034762317431159317e-04,1.904065175040159374e-05,3.119627217529341578e-05,1.383205992169678211e-03,3.526588625391013920e-05
4.000000000000000000e+00,-6.767606258392333984e+00,-1.207061672210693359e+01,6.000000000000000000e+00,1.044178940355777740e-02,1.913096093630883843e-05,6.609097181353718042e-05,1.995449019887018949e-05,7.702339789830148220e-04,7.873350841691717505e-05,8.673551928950473666e-05,9.978343248367309570e-01,5.234702257439494133e-04,4.567270298139192164e-05,5.556469550356268883e-04
5.000000000000000000e+00,-6.766610145568847656e+00,-1.206784629821777344e+01,6.000000000000000000e+00,1.044690329581499100e-02,1.913001688080839813e-05,6.609256524825468659e-05,1.995250204345211387e-05,7.706737960688769817e-04,7.874180300859734416e-05,8.673037518747150898e-05,9.978338479995727539e-01,5.234015407040715218e-04,4.567532596411183476e-05,5.557486438192427158e-04
6.000000000000000000e+00,-1.105745983123779297e+01,6.735838413238525391e+00,1.000000000000000000e+00,1.033815555274486542e-02,1.041661016643047333e-04,9.965459108352661133e-01,2.703965219552628696e-05,1.860201882664114237e-04,1.125116032199002802e-04,2.697425406950060278e-05,6.789075268898159266e-05,2.627651338116265833e-05,1.647293800488114357e-03,1.255925861187279224e-03
7.000000000000000000e+00,-6.776012420654296875e+00,-1.208862686157226562e+01,6.000000000000000000e+00,1.040298212319612503e-02,1.914485619636252522e-05,6.612217839574441314e-05,1.997374783968552947e-05,7.674661464989185333e-04,7.870129047660157084e-05,8.678168524056673050e-05,9.978368282318115234e-01,5.238501471467316151e-04,4.567740325001068413e-05,5.554675008170306683e-04
8.000000000000000000e+00,-6.856299042701721191e-01,-3.842337369918823242e+00,3.000000000000000000e+00,1.045694667845964432e-02,1.285014295717701316e-04,1.910346472868695855e-04,1.293454988626763225e-04,9.943738579750061035e-01,1.847485662437975407e-03,6.623764638788998127e-04,8.451514295302331448e-04,1.006306731142103672e-03,3.412162477616220713e-04,4.747953207697719336e-04
9.000000000000000000e+00,-1.104809379577636719e+01,6.742493629455566406e+00,1.000000000000000000e+00,1.035148836672306061e-02,1.042895164573565125e-04,9.965459704399108887e-01,2.704395046748686582e-05,1.858731266111135483e-04,1.125543494708836079e-04,2.696072988328523934e-05,6.774254143238067627e-05,2.624671105877496302e-05,1.653104322031140327e-03,1.250158878974616528e-03
